Chain\API,Transaction list,Block parsing,Staking ,Token list,Collectible
Bitcoin,✅,✅,N/A,N/A,N/A
Ethereum,✅,✅,,✅,✅
ICON,✅,,N/A,N/A,N/A
Cosmos,✅,✅,✅,,
XRP,✅,✅,N/A,N/A,N/A
Stellar,✅,✅,N/A,,N/A
Nano,✅,,N/A,N/A,N/A
Tron,✅,✅,✅,✅,
FIO,✅,,N/A,N/A,N/A
Nimiq,✅,✅,N/A,N/A,N/A
Algorand,✅,✅,✅,,N/A
IoTeX,✅,✅,✅,N/A,N/A
Zilliqa,✅,✅,,N/A,N/A
Polkadot,✅,✅,,,N/A
Aion,✅,,,N/A,N/A
Aeternity,✅,,N/A,N/A,N/A
Kava,✅,✅,✅,,
Filecoin,,✅,N/A,N/A,N/A
Theta,✅,,N/A,N/A,N/A
Solana,,,✅,,N/A
Elrond,✅,✅,,N/A,N/A
BNB,✅,✅,,✅,
VeChain,✅,✅,N/A,N/A,N/A
Harmony,✅,✅,✅,N/A,N/A
Ontology,✅,✅,N/A,N/A,N/A
Tezos,✅,✅,✅,,N/A
Nebulas,✅,✅,N/A,N/A,N/A
Waves,✅,✅,,N/A,N/A
